rm_oficinacontable	descripcion	monto_USD$
389	SAN RAFAEL PIE DE LA CUESTA	14.54
390	PALESTINA DE LOS ALTOS	14.54
391	MERCADO GUASTATOYA	14.54
394	TERMINAL BAZARES	14.54
395	SANTA CATARINA IXTAHUACAN	14.54
396	CERINAL	14.54
397	ZARAGOZA CHIMALTENANGO	14.54
398	CONCEPCION TUTUAPA	14.54
400	SAN JUAN CHAMELCO	14.54
401	FRAIJANES	14.54
402	VISTA HERMOSA 2	14.54
403	BOSQUES DE SAN NICOLAS	14.54
404	AVENIDA PETAPA	14.54
405	NOVICENTRO	14.54
406	VILLA DE GUADALUPE	14.54
407	EL MUÑECON	14.54
408	CALZADA AGUILAR BATRES	14.54
409	LOS PROCERES	14.54
410	GEMINIS 10 NO. 2	14.54
411	METAMERCADO SAN JUAN	14.54
412	METATERMINAL DEL NORTE	14.54
413	SAN JOSE PINULA	14.54
414	ROOSEVELT 2	14.54
415	15 AVENIDA ZONA 6	14.54
417	SANTA FE	14.54
420	CENMA 2	14.54
422	ALPASA	14.54
424	VILLA NUEVA 2	14.54
425	MALACATAN 5A AVENIDA	14.54
426	HUEHUETENANGO TORRE	14.54
427	ASUNCION MITA BARRIO EL CENTRO	14.54
428	SALAMA 5A AVENIDA	14.54
430	SANTA ELENA 4A CALLE	14.54
431	POPTUN 7A AVENIDA	14.54
432	MAZATENANGO 7A CALLE ZONA 2	29.08
433	BARILLAS 2A AVENIDA	14.54
434	LA MESILLA CARRETERA INTERAMERICANA	14.54
436	TECUN UMAN 3A AVENIDA	29.08
437	CHIQUIMULA 8A. AVENIDA	14.54
438	SOLOMA ZONA 1	14.54
440	ESCUINTLA 3A CALLE	14.54
441	COLOMBA	14.54
443	SAN RAFAEL	14.54
444	JACALTENANGO 2	14.54
446	FLORES COSTA CUCA	14.54
447	LLANO LARGO	14.54
448	EL QUETZAL	14.54
449	SAN JOSE EL RODEO	14.54
452	MERCADO SANTO TOMAS DE CASTILLA	14.54
453	C.C. PRADERA ZONA10	14.54
455	MALACATANCITO HUEHUETENANGO	14.54
456	ORGANISMO JUDICIAL MIXCO	14.54
457	SIQUINALA	14.54
458	AUTOBANCO TECULUTAN	29.08
460	MONTERRICO	14.54
461	TAXISCO	14.54
464	AUTOBANCO SAN JUAN SACATEPEQUEZ	14.54
465	CHANMAGUA	14.54
466	SALTAN	14.54
467	SAN FRANCISCO PETEN	14.54
469	ORGANISMO JUDICIAL ESCUINTLA	14.54
470	NIMASAC	14.54
