Enlace	Oficina_Contable	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo_Dolares
1903	777	777	AUTOBANCO SAN MARCOS	INNOTECHSA	5001292	6144	1075.20
1960	783	783	REGISTRO GENERAL DE LA PROPIEDAD	INNOTECHSA	5001576	1024	257.60
2067	791	791	AUTOBANCO MEGAPLAZA	INNOTECHSA	5001511	6144	1075.20
2043	806	806	TZOLOJYA	INNOTECHSA	5001847	6144	1075.20
1937	833	833	LAS PALMAS COATEPEQUE	INNOTECHSA	5001569	1024	257.60
1964	836	836	MEGAPACA CENTRAL	INNOTECHSA	5001603	1024	257.60
1941	842	842	COLEGIO DE PROFESIONALES	INNOTECHSA	5001520	1024	257.60
1950	885	885	METROTECH XELA	INNOTECHSA	5001510	1024	257.60
1904	887	887	AUTOBANCO CONDADO SAN CRISTOBAL TOTONICAPAN	INNOTECHSA	5001301	6144	1075.20
2068	888	888	MUXBAL	INNOTECHSA	5001567	1024	257.60
827	917	1018	MINGOB	INNOTECHSA	5001892	1024	257.60
2017	948	1002	INTERNET	INNOTECHSA	5000872	51200	5880.00
2026	9185	2115	AG. ZONA11 VIRTUAL	INNOTECHSA	5001004	1024	257.60
