1771;10.162.56.250;256;AGE256
1791;10.168.32.250;832;AGE832
1794;10.162.86.250;286;AGE286
1795;10.160.37.250;37;AGE037
1801;10.166.64.250;664;AGE664
1802;10.163.32.250;332;AGE332
1828;10.164.23.250;423;AGE423
1832;10.166.30.250;630;AGE630
1835;10.167.35.250;735;AGE735
1853;10.161.16.250;116;AGE116
1861;10.164.64.251;464;AGE464
1862;10.168.60.250;860;AGE860
1871;10.165.17.250;517;AGE517
1880;10.160.91.250;91;AGE091
1896;10.165.103.250;340b;AGE340b
1899;10.168.79.250;879;AGE879
1900;10.162.38.250;238;AGE238
1910;10.164.37.250;437;AGE437
1918;10.168.6.250;806;AGE806
1919;10.160.28.250;28;AGE028
1939;10.167.69.250;769;AGE769
1942;10.167.60.250;760;AGE760
1974;10.168.61.250;861;AGE861
1976;10.168.77.250;877;AGE877
1978;10.168.87.250;887;AGE887
2008;10.160.34.250;34;AGE034
2023;10.161.71.250;171;AGE171
2031;10.161.3.250;103;AGE103
2032;10.164.61.250;461;AGE461
2043;10.162.21.250;221;AGE221
2064;10.168.29.250;829;AGE829
2072;10.164.43.251;443;AGE443
2083;10.160.12.250;12;AGE012
2088;10.168.72.250;872;AGE872
2092;10.166.5.250;605;AGE605
2129;10.162.82.250;282;AGE282
2136;10.167.82.250;782;AGE782
2140;10.164.68.250;468;AGE468
2149;10.165.60.250;560;AGE560
2151;10.163.64.250;364;AGE364
2152;10.165.139.250;654b;AGE654b
2153;10.163.85.250;385;AGE385
2169;10.160.49.250;49;AGE049
2176;10.164.28.250;428;AGE428
2179;10.168.88.250;888;AGE888
2184;10.168.96.250;896;AGE896
2256;10.167.14.250;714;AGE714
2258;10.161.42.250;142;AGE142
2287;10.164.53.251;453;AGE453
2297;10.167.44.250;744;AGE744
2298;10.167.44.251;744;AGE744
2313;10.164.52.250;452;AGE452
2320;10.161.27.250;127;AGE127
2344;10.161.37.250;137;AGE137
2345;10.161.37.251;137;AGE137
2346;10.163.35.250;335;AGE335
2349;10.163.30.250;330;AGE330
2356;10.168.23.250;823;AGE823
2357;10.161.77.254;177;AGE177
2358;10.163.7.250;372;AGE372
2360;10.166.33.251;633;AGE633
2361;10.167.49.251;749;AGE749
2364;10.162.95.250;295;AGE295
2368;10.170.2.250;1002;AGE1002
2370;10.168.33.250;833;AGE833
2443;10.168.43.250;843;AGE843
2448;10.164.90.250;490;AGE490
2486;10.162.94.250;294;AGE294
2487;10.168.70.250;870;AGE870
2509;10.166.97.251;697;AGE697
2518;10.163.28.250;328;AGE328
2523;10.168.34.250;834;AGE834
2524;10.168.26.250;826;AGE826
2542;10.160.70.250;70;AGE070
2554;10.160.18.250;18;AGE018
2555;10.162.0.250;200;AGE200
2590;10.162.98.250;298;AGE298
2594;10.165.196.250;319b;AGE319b
2599;10.167.72.250;772;AGE772
2661;10.164.55.250;455;AGE455
2662;10.163.37.250;337;AGE337
2669;10.163.54.250;354;AGE354
2673;10.162.48.250;248;AGE248
2685;10.170.5.250;1005;AGE1005
2694;10.165.75.250;575;AGE575
2698;10.165.189.250;356b;AGE356b
2701;10.168.32.251;832;AGE832
2705;10.160.31.250;31;AGE031
2706;10.160.31.251;31;AGE031
2710;10.170.3.250;1003;AGE1003
2789;10.168.65.250;865;AGE865
2835;10.164.85.250;485;AGE485
2865;10.162.22.250;222;AGE222
2878;10.162.97.250;297;AGE297
