Host	% Time Up	% Time Down	% Time Unreachable	% Time Undetermined
cam615	95.399% (98.932%)	1.030% (1.068%)	0.000% (0.000%)	3.571%
cam616	28.006% (28.428%)	70.509% (71.572%)	0.000% (0.000%)	1.485%
cam621	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam623	96.255% (99.820%)	0.173% (0.180%)	0.000% (0.000%)	3.571%
cam624	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam625	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam631	95.388% (98.921%)	1.040% (1.079%)	0.000% (0.000%)	3.571%
cam632	93.578% (97.044%)	2.851% (2.956%)	0.000% (0.000%)	3.571%
cam634	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam635	81.324% (84.336%)	15.105% (15.664%)	0.000% (0.000%)	3.571%
cam636	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam637	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam638	96.077% (99.635%)	0.352% (0.365%)	0.000% (0.000%)	3.571%
cam639	92.774% (96.210%)	3.654% (3.790%)	0.000% (0.000%)	3.571%
cam640	93.333% (96.790%)	3.095% (3.210%)	0.000% (0.000%)	3.571%
cam642	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam647	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam648	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam649	92.333% (95.753%)	4.096% (4.247%)	0.000% (0.000%)	3.571%
cam654	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam656	95.200% (98.725%)	1.229% (1.275%)	0.000% (0.000%)	3.571%
cam657	96.078% (99.637%)	0.350% (0.363%)	0.000% (0.000%)	3.571%
cam658	95.942% (99.496%)	0.486% (0.504%)	0.000% (0.000%)	3.571%
cam659	80.115% (82.825%)	16.613% (17.175%)	0.000% (0.000%)	3.272%
cam660	96.253% (99.818%)	0.175% (0.182%)	0.000% (0.000%)	3.571%
cam664	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam668	0.000% (0.000%)	98.513% (100.000%)	0.000% (0.000%)	1.487%
cam669	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam669b	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam670	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam674	96.077% (99.635%)	0.352% (0.365%)	0.000% (0.000%)	3.571%
cam676	96.254% (99.819%)	0.175% (0.181%)	0.000% (0.000%)	3.571%
cam677	95.777% (99.325%)	0.651% (0.675%)	0.000% (0.000%)	3.571%
cam679	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam680	86.138% (89.328%)	10.291% (10.672%)	0.000% (0.000%)	3.571%
cam681	96.078% (99.637%)	0.350% (0.363%)	0.000% (0.000%)	3.571%
cam682	80.725% (83.715%)	15.704% (16.285%)	0.000% (0.000%)	3.571%
cam683	92.011% (95.419%)	4.418% (4.581%)	0.000% (0.000%)	3.571%
cam684	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam686	96.091% (99.650%)	0.337% (0.350%)	0.000% (0.000%)	3.571%
cam687	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam691	94.208% (97.698%)	2.220% (2.302%)	0.000% (0.000%)	3.571%
cam692	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam693	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam694	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam695	87.763% (91.013%)	8.666% (8.987%)	0.000% (0.000%)	3.571%
cam698	87.555% (90.798%)	8.873% (9.202%)	0.000% (0.000%)	3.571%
cam699	96.103% (99.662%)	0.326% (0.338%)	0.000% (0.000%)	3.571%
cam700	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam701	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam702	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam703	96.079% (99.637%)	0.350% (0.363%)	0.000% (0.000%)	3.571%
cam705	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam706	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam710	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam712	95.404% (98.937%)	1.025% (1.063%)	0.000% (0.000%)	3.571%
cam714	96.080% (99.639%)	0.349% (0.361%)	0.000% (0.000%)	3.571%
cam717	93.094% (96.541%)	3.335% (3.459%)	0.000% (0.000%)	3.571%
cam722	96.092% (99.651%)	0.336% (0.349%)	0.000% (0.000%)	3.571%
cam723	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam724	93.273% (96.727%)	3.156% (3.273%)	0.000% (0.000%)	3.571%
cam725	96.252% (99.817%)	0.176% (0.183%)	0.000% (0.000%)	3.571%
cam728	96.254% (99.819%)	0.175% (0.181%)	0.000% (0.000%)	3.571%
cam729	96.266% (99.832%)	0.162% (0.168%)	0.000% (0.000%)	3.571%
cam733	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam739	95.592% (99.132%)	0.837% (0.868%)	0.000% (0.000%)	3.571%
cam747	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam750	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam751	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam759	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam78B	51.855% (53.321%)	45.395% (46.679%)	0.000% (0.000%)	2.750%
cam80B	51.904% (53.827%)	44.524% (46.173%)	0.000% (0.000%)	3.571%
cam972	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam99B	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam99C	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam99D	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
cam99E	96.429% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	3.571%
castest	96.850% (96.850%)	3.150% (3.150%)	0.000% (0.000%)	0.000%
central3	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
cesa_navega	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
cesa_telered	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
compe1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
db_bv	96.871% (96.871%)	3.129% (3.129%)	0.000% (0.000%)	0.000%
elearning	87.560% (87.560%)	12.440% (12.440%)	0.000% (0.000%)	0.000%
extreme	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
fc_switch_1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
fc_switch_2	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
fep	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
fep_desa	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
fwz1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
gandalf	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
gw-branch	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
gw_agencias	99.736% (99.736%)	0.000% (0.000%)	0.264% (0.264%)	0.000%
gw_gbm	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
gw_munimixco	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
gw_munisascim	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
gw_munivica	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
gw_portuaria	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
gw_renap	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
gw_tarjetas	90.324% (90.324%)	9.357% (9.357%)	0.319% (0.319%)	0.000%
gw_torre	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
gw_vnc	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
igss	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
isp_amnet	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
isp_navega	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
isp_telered	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
ivr	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
ivrfax	96.417% (96.417%)	3.265% (3.265%)	0.318% (0.318%)	0.000%
mail_financiera	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
mail_seguros	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
mailarchive	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
mailexterno	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
mailprivado	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
monitor_byte_alarmas	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
monitor_byte_analizador	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
monitor_byte_db	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
monitor_telecom	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
municipalidad	93.782% (93.782%)	6.218% (6.218%)	0.000% (0.000%)	0.000%
municipalidad_gw	94.074% (94.074%)	5.926% (5.926%)	0.000% (0.000%)	0.000%
nagios	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
nagios2	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
natserver	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
paynexus	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
plus_acrm_db	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
proxy	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
proxy-adm	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
prt_zona1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
qapp_desa	96.848% (96.848%)	3.152% (3.152%)	0.000% (0.000%)	0.000%
qapp_prod	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
qapp_prod2	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
qdb_prod	96.848% (96.848%)	3.152% (3.152%)	0.000% (0.000%)	0.000%
referencias	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
rrhhweb	96.847% (96.847%)	3.153% (3.153%)	0.000% (0.000%)	0.000%
rural1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
segurosd	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
segurosp	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
segurosweb	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
siniestro	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
telered_dsl	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
telnor_cablenet	99.522% (99.522%)	0.478% (0.478%)	0.000% (0.000%)	0.000%
telnor_navega	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
telnor_prt	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
torre01srv	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
torre02srv	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
trtapp	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
unionfenosa	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
uniteler1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
uniteler2	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
uniteler_digi	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
vmcargas	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
vmcobisbrch	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
vmctlm	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
vmeset	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
vmmsqapp01	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
vmmsqapp02	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
vmrrhh2000	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
vmsas	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
vmsegemgr	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
vmwatches	96.846% (96.846%)	3.154% (3.154%)	0.000% (0.000%)	0.000%
vmwservices	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
vpnsrv	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
web_bv	96.847% (96.847%)	3.153% (3.153%)	0.000% (0.000%)	0.000%
Average	94.925% (96.379%)	3.191% (3.226%)	0.132% (0.132%)	1.752%
