HOST_NAME, TIME_UP_SCHEDULED, PERCENT_TIME_UP_SCHEDULED, PERCENT_KNOWN_TIME_UP_SCHEDULED, TIME_UP_UNSCHEDULED, PERCENT_TIME_UP_UNSCHEDULED, PERCENT_KNOWN_TIME_UP_UNSCHEDULED, TOTAL_TIME_UP, PERCENT_TOTAL_TIME_UP, PERCENT_KNOWN_TIME_UP, TIME_DOWN_SCHEDULED, PERCENT_TIME_DOWN_SCHEDULED, PERCENT_KNOWN_TIME_DOWN_SCHEDULED, TIME_DOWN_UNSCHEDULED, PERCENT_TIME_DOWN_UNSCHEDULED, PERCENT_KNOWN_TIME_DOWN_UNSCHEDULED, TOTAL_TIME_DOWN, PERCENT_TOTAL_TIME_DOWN, PERCENT_KNOWN_TIME_DOWN, TIME_UNREACHABLE_SCHEDULED, PERCENT_TIME_UNREACHABLE_SCHEDULED, PERCENT_KNOWN_TIME_UNREACHABLE_SCHEDULED, TIME_UNREACHABLE_UNSCHEDULED, PERCENT_TIME_UNREACHABLE_UNSCHEDULED, PERCENT_KNOWN_TIME_UNREACHABLE_UNSCHEDULED, TOTAL_TIME_UNREACHABLE, PERCENT_TOTAL_TIME_UNREACHABLE, PERCENT_KNOWN_TIME_UNREACHABLE, TIME_UNDETERMINED_NOT_RUNNING, PERCENT_TIME_UNDETERMINED_NOT_RUNNING, TIME_UNDETERMINED_NO_DATA, PERCENT_TIME_UNDETERMINED_NO_DATA, TOTAL_TIME_UNDETERMINED, PERCENT_TOTAL_TIME_UNDETERMINED
"VMBVDesa", 0, 0.000%, 0.000%, 2004584, 99.790%, 99.790%, 2004584, 99.790%, 99.790%, 0, 0.000%, 0.000%, 4216, 0.210%, 0.210%, 4216, 0.210%, 0.210%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMBVInterna", 0, 0.000%, 0.000%, 2002703, 99.696%, 99.696%, 2002703, 99.696%, 99.696%, 0, 0.000%, 0.000%, 6097, 0.304%, 0.304%, 6097, 0.304%, 0.304%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMCAS", 0, 0.000%, 0.000%, 1992945, 99.211%, 99.211%, 1992945, 99.211%, 99.211%, 0, 0.000%, 0.000%, 15855, 0.789%, 0.789%, 15855, 0.789%, 0.789%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMCapaSrv", 0, 0.000%, 0.000%, 2002295, 99.676%, 99.676%, 2002295, 99.676%, 99.676%, 0, 0.000%, 0.000%, 6505, 0.324%, 0.324%, 6505, 0.324%, 0.324%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMCobis01", 0, 0.000%, 0.000%, 2007117, 99.916%, 99.916%, 2007117, 99.916%, 99.916%, 0, 0.000%, 0.000%, 1683, 0.084%, 0.084%, 1683, 0.084%, 0.084%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMCobis02", 0, 0.000%, 0.000%, 2007104, 99.916%, 99.916%, 2007104, 99.916%, 99.916%, 0, 0.000%, 0.000%, 1696, 0.084%, 0.084%, 1696, 0.084%, 0.084%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMCobis03", 0, 0.000%, 0.000%, 2005098, 99.816%, 99.816%, 2005098, 99.816%, 99.816%, 0, 0.000%, 0.000%, 3702, 0.184%, 0.184%, 3702, 0.184%, 0.184%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMCobis04", 0, 0.000%, 0.000%, 2006951, 99.908%, 99.908%, 2006951, 99.908%, 99.908%, 0, 0.000%, 0.000%, 1849, 0.092%, 0.092%, 1849, 0.092%, 0.092%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMCobis05", 0, 0.000%, 0.000%, 1992457, 99.186%, 99.186%, 1992457, 99.186%, 99.186%, 0, 0.000%, 0.000%, 16343, 0.814%, 0.814%, 16343, 0.814%, 0.814%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMCobis06", 0, 0.000%, 0.000%, 2004833, 99.803%, 99.803%, 2004833, 99.803%, 99.803%, 0, 0.000%, 0.000%, 3967, 0.197%, 0.197%, 3967, 0.197%, 0.197%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMCobis07", 0, 0.000%, 0.000%, 2007113, 99.916%, 99.916%, 2007113, 99.916%, 99.916%, 0, 0.000%, 0.000%, 1687, 0.084%, 0.084%, 1687, 0.084%, 0.084%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMCobis08", 0, 0.000%, 0.000%, 2007305, 99.926%, 99.926%, 2007305, 99.926%, 99.926%, 0, 0.000%, 0.000%, 1495, 0.074%, 0.074%, 1495, 0.074%, 0.074%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMCobis09", 0, 0.000%, 0.000%, 2005394, 99.830%, 99.830%, 2005394, 99.830%, 99.830%, 0, 0.000%, 0.000%, 3406, 0.170%, 0.170%, 3406, 0.170%, 0.170%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMCobis10", 0, 0.000%, 0.000%, 2007820, 99.951%, 99.951%, 2007820, 99.951%, 99.951%, 0, 0.000%, 0.000%, 980, 0.049%, 0.049%, 980, 0.049%, 0.049%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
