en_proveedor	en_remoto	en_estado	en_nagios	rm_descripcion	rm_region	en_codigo_proveedor	en_fecha_activacion	sl_uptime	sl_downtime	sl_unreachable	sl_undetermined	en_costo_mensual
CLARO	126	7	age126	SAN MANUEL CHAPARRON	6	8900526	2007-12-19 00:00:00	97.799	2.201	0	0	133.00
CLARO	127	7	age127	AUTOBANCO TELEMAN	30	8900686	2013-10-07 00:00:00	99.494	0.506	0	0	133.00
CLARO	128	7	age128	CONCEPCION HUISTA	40	8901205	2012-05-22 00:00:00	94.641	5.359	0	0	133.00
CLARO	129	7	age129	EL CHOL	31	8901206	2014-08-19 00:00:00	95.209	4.791	0	0	133.00
CLARO	130	7	age130	GRANADOS	31	8901936	2013-02-05 00:00:00	98.909	1.091	0	0	133.00
CLARO	131	7	age131	REFORMA SAN MARCOS	33	8902376	2012-07-17 00:00:00	94.971	5.029	0	0	133.00
COLUMBUS	132	7	age132	AGENCIA ZONA 6 (MARTI)	1	5001843	2013-06-27 00:00:00	99.785	0.215	0	0	308.00
CLARO	133	7	age133	C.C. PLAZA MAGDALENA	10	8900299	2009-07-10 00:00:00	99.648	0.352	0	0	133.00
CLARO	134	7	age134	AGENCIA ZONA 7	25	8900241	2000-04-19 00:00:00	99.918	0.082	0	0	133.00
CLARO	135	7	age135	AGENCIA ZONA 5	23	8900239	2000-04-19 00:00:00	100	0	0	0	133.00
CLARO	136	7	age136	METRONORTE	1	8900258	2000-04-19 00:00:00	99.966	0.034	0	0	133.00
CLARO	137	7	age137	VILLA NUEVA	22	8902062	2014-02-17 00:00:00	99.96	0.04	0	0	133.00
CLARO	138	7	age138	AGENCIA MIXCO	25	8900240	2000-04-19 00:00:00	87.795	12.205	0	0	133.00
CLARO	139	7	age139	AGENCIA ZONA 19	20	8900236	2000-04-19 00:00:00	100	0	0	0	133.00
COLUMBUS	1390001	7	age139b	ANEXO SUPER DEL BARRIO BELEN	20	5002251	2014-01-10 00:00:00	100	0	0	0	201.60
CLARO	141	7	age141	TERMINAL HUEHUETENANGO	13	8900301	2000-04-19 00:00:00	99.447	0.553	0	0	133.00
CLARO	142	7	age142	PLAZA PALMERAS	3	8900295	2003-12-20 00:00:00	100	0	0	0	133.00
TIGO	143	7	age143	NUEVO SAN CARLOS	34	25698	2008-12-11 00:00:00	99.135	0.865	0	0	190.40
TIGO	144	7	age144	SAN BENITO PETEN	42	2810	2004-06-04 00:00:00	98.616	1.384	0	0	190.40
CLARO	146	7	age146	INGUAT	27	8900493	2006-09-11 00:00:00	100	0	0	0	133.00
CLARO	147	7	age147	AGENCIA SAT ZACAPA	7	8900292	2003-08-06 00:00:00	99.976	0.024	0	0	133.00
COLUMBUS	148	7	age148	COLONIAL ANTIGUA	35	5001283	2013-01-22 00:00:00	99.956	0.044	0	0	526.40
CLARO	149	7	age149	SANTA EULALIA	40	8900711	2009-10-14 00:00:00	99.568	0.432	0	0	133.00
CLARO	151	7	age151	SALAMA CENTRO	11	8900639	2008-11-13 00:00:00	99.425	0.575	0	0	133.00
COLUMBUS	152	7	age152	AUTOBANCO PROGRESO JUTIAPA	5	5001293	2013-01-25 00:00:00	99.75	0.25	0	0	526.40
CLARO	153	7	age153	AUTOBANCO CIUDAD SAN CRISTOBAL	29	8900244	2001-07-27 00:00:00	100	0	0	0	133.00
CLARO	154	7	age154	AGUA BLANCA	6	8900366	2005-06-20 00:00:00	97.401	2.599	0	0	133.00
COLUMBUS	155	7	age155	AUTOBANCO LAS MINAS ESQUIPULAS	44	5001844	2013-12-31 00:00:00	99.913	0.087	0	0	526.40
CLARO	156	7	age156	PANAJACHEL	17	8900490	2000-04-19 00:00:00	99.935	0.065	0	0	133.00
CLARO	157	7	age157	SAT - JALAPA	5	8900281	2001-10-22 00:00:00	99.462	0.538	0	0	133.00
CLARO	158	7	age158	SAMAYAC	16	8900527	2007-10-02 00:00:00	95.823	4.177	0	0	133.00
CLARO	159	7	age159	SAN ANDRES SEMETABAJ	17	8900633	2008-09-12 00:00:00	67.989	32.011	0	0	133.00
COLUMBUS	160	7	age160	AUTOBANCO TEXACO CHIQUIMULA	6	5001290	2013-01-24 00:00:00	100	0	0	0	526.40
TIGO	161	7	age161	SAN PEDRO CARCHA	10	2525	2004-03-12 00:00:00	98.965	1.035	0	0	190.40
COLUMBUS	162	7	age162	CAMOJA	14	5001285	2013-01-24 00:00:00	99.581	0.419	0	0	526.40
CLARO	163	7	age163	CUNEN	12	8902274	2015-01-28 00:00:00	99.785	0.215	0	0	133.00
CLARO	164	7	age164	AMATITLAN	22	8900344	2001-09-04 00:00:00	100	0	0	0	133.00
TIGO	1640001	7	age164b	RENAP AMATITLAN	22	29161	2010-05-04 00:00:00	100	0	0	0	190.40
CLARO	165	7	age165	XELAJU	18	8900312	2002-06-21 00:00:00	100	0	0	0	133.00
CLARO	166	7	age166	TECULUTAN	41	8900397	2001-11-15 00:00:00	99.284	0.716	0	0	133.00
TIGO	167	7	age167	TRANSITO GALERIAS DEL SUR	29	764	2013-05-22 00:00:00	100	0	0	0	190.40
CLARO	168	7	age168	LA TORRE	27	8900502	2000-04-19 00:00:00	99.975	0.025	0	0	133.00
CLARO	169	7	age169	EL PROGRESO	5	8900409	2004-02-25 00:00:00	98.271	1.729	0	0	133.00
CLARO	170	7	age170	C.D.R.O	39	8900274	2001-09-17 00:00:00	100	0	0	0	133.00
TIGO	171	7	age171	CUBULCO	11	12516	2007-02-26 00:00:00	99.464	0.536	0	0	190.40
CLARO	173	7	age173	19 CALLE	29	8900263	2001-09-25 00:00:00	92.418	7.582	0	0	133.00
CLARO	174	7	age174	PURULHA	11	8900529	2018-01-23 00:00:00	100	0	0	0	133.00
CLARO	175	7	age175	ORGANISMO JUDICIAL	29	8900269	2000-10-10 00:00:00	95.741	4.259	0	0	133.00
TIGO	176	7	age176	YUPILTEPEQUE	4	24856	2006-11-14 00:00:00	100	0	0	0	190.40
CLARO	177	7	age177	LA DEMOCRACIA ESCUINTLA	43	8900674	2009-06-15 00:00:00	97.65	2.35	0	0	133.00
CLARO	178	7	age178	AEROPUERTO	28	8900235	2001-09-18 00:00:00	99.966	0.034	0	0	133.00
CLARO	1780002	7	age178b	ARPTO. LA AURORA 3 NIVEL ANEXO AERONAUTICA	28	8900745	2008-08-13 00:00:00	99.865	0.135	0	0	133.00
CLARO	1780001	7	age178c	DIRECCION GENERAL DE AERONAUTICA CIVIL	28	8902319	2014-08-18 00:00:00	99.948	0.052	0	0	133.00
TIGO	179	7	age179	PALIN	35	2108	2008-09-05 00:00:00	98.792	1.208	0	0	190.40
CLARO	180	7	age180	SANARATE	41	8900402	2002-11-14 00:00:00	99.979	0.021	0	0	133.00
CLARO	181	7	age181	CHICAMAN	12	8900741	2009-10-13 00:00:00	100	0	0	0	133.00
TIGO	182	7	age182	SAN MIGUEL ACATAN	40	71712	2015-01-02 00:00:00	99.458	0.542	0	0	190.40
CLARO	183	7	age183	PRISA	24	8900261	2001-08-24 00:00:00	99.972	0.028	0	0	133.00
CLARO	184	7	age184	TERMINAL JUTIAPA	4	8900296	2003-12-20 00:00:00	99.908	0.092	0	0	133.00
CLARO	185	7	age185	IGSS CENTRAL	29	8900251	2001-05-08 00:00:00	99.755	0.245	0	0	133.00
LOCAL	2185	7	age185	ANEXO IGSS CENTRAL	29		2007-11-08 00:00:00	99.755	0.245	0	0	0.00
TIGO	186	7	age186	CENTENARIO MAZATENANGO	16	39903	2010-12-27 00:00:00	99.968	0.032	0	0	190.40
CLARO	187	7	age187	SAN ANTONIO SUCHITEPEQUEZ	16	8900400	2001-09-22 00:00:00	99.791	0.209	0	0	133.00
CLARO	188	7	age188	IGSS ZONA 5	23	8900252	2001-05-30 00:00:00	99.898	0.102	0	0	133.00
COLUMBUS	189	7	age189	19 AVENIDA ZONA 6	1	5001303	2013-01-22 00:00:00	57.713	42.287	0	0	201.60
CLARO	190	7	age190	IGSS ZONA 11	28	8900254	2001-08-17 00:00:00	100	0	0	0	133.00
CLARO	192	7	age192	IGSS MONTE REAL	20	8900253	2001-04-09 00:00:00	99.65	0.35	0	0	133.00
CLARO	193	7	age193	IGSS RETALHULEU	34	8900316	2004-03-09 00:00:00	93.198	6.802	0	0	133.00
CLARO	194	7	age194	IGSS PAMPLONA	19	8900283	2001-10-26 00:00:00	100	0	0	0	133.00
CLARO	195	7	age195	TIQUISATE	43	8900576	2007-12-19 00:00:00	95.363	4.637	0	0	133.00
CLARO	196	7	age196	SAN MIGUEL POCHUTA	43	8901209	2012-07-20 00:00:00	98.634	1.366	0	0	133.00
CLARO	197	7	age197	TACTIC	11	8900364	2003-12-20 00:00:00	99.665	0.335	0	0	133.00
CLARO	198	7	age198	SIMON BOLIVAR MORALES	8	8900405	2002-09-26 00:00:00	99.904	0.096	0	0	133.00
CLARO	199	7	age199	MERCADO QUETZALTENANGO	18	8900309	2001-05-14 00:00:00	99.721	0.279	0	0	133.00
CLARO	200	7	age200	CHAJUL	12	8900371	2005-06-03 00:00:00	99.017	0.983	0	0	133.00
CLARO	201	7	age201	SALCAJA	39	8900280	2001-10-19 00:00:00	99.918	0.082	0	0	133.00
CLARO	202	7	age202	MERCADO SANTO TOMAS DE CASTILLA	33	8900413	2006-04-21 00:00:00	99.966	0.034	0	0	133.00
TIGO	2020001	7	age202b	RENAP COATEPEQUE	33	29171	2009-09-22 00:00:00	99.731	0.269	0	0	190.40
CLARO	203	7	age203	PATULUL	43	8900446	2004-02-25 00:00:00	100	0	0	0	133.00
CLARO	204	7	age204	CHICACAO	16	8900647	2008-12-11 00:00:00	62.006	37.994	0	0	133.00
TIGO	205	7	age205	IGSS ZONA 9	27	756	2002-12-02 00:00:00	100	0	0	0	190.40
COLUMBUS	206	7	age206	MEGA PRIMMA	25	5001468	2013-07-05 00:00:00	99.207	0.793	0	0	308.00
CLARO	207	7	age207	CHIQUIMULA CENTRO	6	8900291	2003-03-26 00:00:00	99.351	0.649	0	0	133.00
TIGO	208	7	age208	ADUANA PUERTO FRONTERIZO - TECUN UMAN	33	2106	2004-01-13 00:00:00	97.737	2.263	0	0	190.40
CLARO	209	7	age209	EL NARANJO	42	8901222	2012-06-01 00:00:00	99.641	0.359	0	0	133.00
CLARO	210	7	age210	MERCADO TERMINAL ZONA 4	27	8900646	2008-12-17 00:00:00	100	0	0	0	133.00
CLARO	211	7	age211	MERCADO LA FLORIDA	20	8900246	2003-06-20 00:00:00	99.881	0.119	0	0	133.00
TIGO	212	7	age212	MERCADO CENTRAL ZONA 1	23	1533	2003-05-12 00:00:00	100	0	0	0	190.40
CLARO	213	7	age213	MERCADO LA PARROQUIA	1	8900245	2003-06-20 00:00:00	51.662	48.338	0	0	133.00
MUNI	214	7	age214	MINI MUNI GALERIAS DEL SUR	29	610	2005-12-16 00:00:00	99.297	0.703	0	0	0.00
CLARO	216	7	age216	MUNICIPALIDAD DE VILLA NUEVA	22	8900657	2009-04-20 00:00:00	99.973	0.027	0	0	133.00
TIGO	218	7	age218	PLAZA HELVETIA ROOSEVELT	25	2299	2003-12-12 00:00:00	100	0	0	0	190.40
CLARO	219	7	age219	LOS OLIVOS	1	8902013	2013-08-07 00:00:00	99.391	0.609	0	0	133.00
CLARO	220	7	age220	MONJAS	5	8900332	2001-11-09 00:00:00	99.841	0.159	0	0	133.00
CLARO	221	7	age221	SANTA LUCIA COTZ	43	8902021	2013-09-12 00:00:00	99.86	0.14	0	0	360.00
CLARO	222	7	age222	SAN ANDRES SAJCABAJA	31	8900812	2010-12-21 00:00:00	99.154	0.846	0	0	133.00
TIGO	223	7	age223	MERCADO EL GRANERO	27	1532	2003-05-12 00:00:00	99.931	0.069	0	0	190.40
TIGO	224	7	age224	MERCADO LA PALMITA	23	733	2002-10-22 00:00:00	100	0	0	0	190.40
TIGO	225	7	age225	MERCADO EL GUARDA	28	722	2002-07-15 00:00:00	98.888	1.112	0	0	190.40
COLUMBUS	2250001	7	age225b	ANEXO MERCADO EL GUARDA	28	5001473	2013-03-15 00:00:00	57.634	42.366	0	0	201.60
TIGO	226	7	age226	OJ ZONA 9	27	2145	2003-12-12 00:00:00	99.42	0.58	0	0	190.40
CLARO	227	7	age227	SANTO TOMAS DE CASTILLA	8	8900284	2002-08-02 00:00:00	99.933	0.067	0	0	133.00
TIGO	2270001	7	age227b	ANEXO SANTO TOMAS DE CASTILLA	8	17524	2008-01-09 00:00:00	0	100	0	0	190.40
CLARO	228	7	age228	SAT ZONA 9	27	8900260	2002-05-20 00:00:00	99.975	0.025	0	0	133.00
CLARO	2280001	7	age228b	SAT TORRE AZUL	27	8900606	2008-09-19 00:00:00	99.824	0.176	0	0	133.00
TIGO	229	7	age229	SAN MIGUEL PETAPA	19	719	2002-12-04 00:00:00	99.881	0.119	0	0	190.40
CLARO	231	7	age231	SAN PABLO SAN MARCOS	15	8900372	2005-12-16 00:00:00	99.968	0.032	0	0	133.00
CLARO	232	7	age232	SAN JUAN SACATEPEQUEZ	20	8900289	2002-11-08 00:00:00	100	0	0	0	133.00
TIGO	2320001	7	age232b	RENAP SAN JUAN SACATEPEQUEZ	20	29174	2013-06-04 00:00:00	99.889	0.111	0	0	190.40
CLARO	233	7	age233	ALMOLONGA	18	8900288	2002-11-12 00:00:00	98.964	1.036	0	0	133.00
